rank,institution,year_founded,affiliation,delivery_method,enrollment,city,country,continent,link
17,Tribhuvan University,1959,Public,In-Person,454065,Kirtipur,Nepal,Asia,https://en.wikipedia.org/wiki/Indira_Gandhi_National_Open_University
18,University of the Punjab,1882,Public,In-Person,450000,"Lahore,  Punjab",Pakistan,Asia,https://en.wikipedia.org/wiki/Indira_Gandhi_National_Open_University
19,Dr. B R Ambedkar Open University,1982,Public,Distance,450000,Telangana,India,Asia,https://en.wikipedia.org/wiki/Indira_Gandhi_National_Open_University
20,State University System of Florida,1954,Public,In-Person,430000,Florida,United States,North America,https://en.wikipedia.org/wiki/Indira_Gandhi_National_Open_University
21,University System of Ohio,2007,Public,In-Person,429310,Ohio,United States,North America,https://en.wikipedia.org/wiki/Indira_Gandhi_National_Open_University
22,University of Delhi,1922,Public,In-Person,700000,Delhi,India,Asia,https://en.wikipedia.org/wiki/Indira_Gandhi_National_Open_University
23,Payame Noor University,1987,Public,Hybrid,400000,,Iran,Asia,https://en.wikipedia.org/wiki/Indira_Gandhi_National_Open_University
24,Sikkim Manipal University,1995,Private,In-Person,390000,Sikkim,India,Asia,https://en.wikipedia.org/wiki/Indira_Gandhi_National_Open_University
25,University of South Africa,1873,Public,Distance,370000,"Pretoria,  Gauteng",South Africa,Africa,https://en.wikipedia.org/wiki/Indira_Gandhi_National_Open_University
26,State University of New York system,1948,Public,In-Person,363612,New York,United States,North America,https://en.wikipedia.org/wiki/Indira_Gandhi_National_Open_University
27,National Autonomous University of Mexico,1551,Public,In-Person,356530,Mexico City,Mexico,North America,https://en.wikipedia.org/wiki/Indira_Gandhi_National_Open_University
28,National Centre for Distance Education,1939,Public,Distance,350000,,France,Europe,https://en.wikipedia.org/wiki/Indira_Gandhi_National_Open_University
29,University System of Georgia,1931,Public,In-Person,318027,Georgia,United States,North America,https://en.wikipedia.org/wiki/Indira_Gandhi_National_Open_University
30,University of Buenos Aires,1821,Public,In-Person,316050,Buenos Aires,Argentina,South America,https://en.wikipedia.org/wiki/Indira_Gandhi_National_Open_University
30,Minnesota State Colleges and Universities,1995,Public,In-Person,300000,Minnesota,United States,North America,https://en.wikipedia.org/wiki/Indira_Gandhi_National_Open_University
31,Osmania University,1918,Public,In-Person,300000,"Hyderabad,  Telangana",India,Asia,https://en.wikipedia.org/wiki/Indira_Gandhi_National_Open_University
32,National University of Distance Education,1972,Public,Hybrid,260079,,Spain,Europe,https://en.wikipedia.org/wiki/Indira_Gandhi_National_Open_University
33,Rajiv Gandhi Technical University,1998,Public,In-Person,260000,"Bhopal,  Madhya Pradesh",India,Asia,https://en.wikipedia.org/wiki/Indira_Gandhi_National_Open_University
